train_loss,epoch,step,val_loss,val_acc,train_acc,test_acc
0.6978310346603394,0,49,,,,
0.49232572317123413,0,99,,,,
0.4548954963684082,0,149,,,,
0.5650737881660461,0,199,,,,
0.618618905544281,0,249,,,,
0.5263509154319763,0,299,,,,
0.4896870255470276,0,349,,,,
0.5625843405723572,0,399,,,,
0.4882301688194275,0,449,,,,
,0,449,0.5095576643943787,0.7562500238418579,,
,0,449,,,0.7222916483879089,
0.46784695982933044,1,499,,,,
0.5774015784263611,1,549,,,,
0.40452492237091064,1,599,,,,
0.3326077461242676,1,649,,,,
0.32635200023651123,1,699,,,,
0.624509871006012,1,749,,,,
0.5200897455215454,1,799,,,,
0.6022628545761108,1,849,,,,
0.43442288041114807,1,899,,,,
,1,899,0.4552035629749298,0.8043749928474426,,
,1,899,,,0.7746527791023254,
0.7053351402282715,2,949,,,,
0.3466748595237732,2,999,,,,
0.5925524830818176,2,1049,,,,
0.5861272811889648,2,1099,,,,
0.46475091576576233,2,1149,,,,
0.5498411655426025,2,1199,,,,
0.4431130290031433,2,1249,,,,
0.29934829473495483,2,1299,,,,
0.4395830035209656,2,1349,,,,
,2,1349,0.4402958154678345,0.8018749952316284,,
,2,1349,,,0.8020833134651184,
0.3861207664012909,3,1399,,,,
0.25760990381240845,3,1449,,,,
0.5176708102226257,3,1499,,,,
0.51127028465271,3,1549,,,,
0.6197245121002197,3,1599,,,,
0.2230585813522339,3,1649,,,,
0.33435896039009094,3,1699,,,,
0.38538432121276855,3,1749,,,,
0.2739921510219574,3,1799,,,,
,3,1799,0.4623907506465912,0.7956249713897705,,
,3,1799,,,0.8153471946716309,
0.5852644443511963,4,1849,,,,
0.3905651867389679,4,1899,,,,
0.5691893100738525,4,1949,,,,
0.2622712254524231,4,1999,,,,
0.36601048707962036,4,2049,,,,
0.5491155982017517,4,2099,,,,
0.4906577169895172,4,2149,,,,
0.3308217227458954,4,2199,,,,
0.49058496952056885,4,2249,,,,
,4,2249,0.4402114748954773,0.815625011920929,,
,4,2249,,,0.8213194608688354,
0.3354225158691406,5,2299,,,,
0.48471707105636597,5,2349,,,,
0.3136380910873413,5,2399,,,,
0.6106537580490112,5,2449,,,,
0.40051546692848206,5,2499,,,,
0.6857706904411316,5,2549,,,,
0.3888744115829468,5,2599,,,,
0.5042757391929626,5,2649,,,,
0.3152477443218231,5,2699,,,,
,5,2699,0.40958675742149353,0.8362500071525574,,
,5,2699,,,0.8268749713897705,
0.42720651626586914,6,2749,,,,
0.4918511211872101,6,2799,,,,
0.2233065813779831,6,2849,,,,
0.3193848431110382,6,2899,,,,
0.23380981385707855,6,2949,,,,
0.4346502423286438,6,2999,,,,
0.5943997502326965,6,3049,,,,
0.3202495574951172,6,3099,,,,
0.31730544567108154,6,3149,,,,
,6,3149,0.42525947093963623,0.8125,,
,6,3149,,,0.8322222232818604,
0.38839372992515564,7,3199,,,,
0.3698798716068268,7,3249,,,,
0.5485420227050781,7,3299,,,,
